mu,P_mui0,P_mui1,P_mui2,beta2,P_epsilon,P_kappa,P_gamma0,P_gamma1,P_gamma2,P_nu,cdr_b,P_h,P_j,Equi_incidence
0.016779938,0.08344312,0.07004981,0.362420899,51.54750338,0.117159592,0.584225681,0.553829098,0.580512288,0.271233054,0.051964256,0.680486953,0.024010238,0.016429591,465.3957235
0.014478419,0.061468322,0.076991632,0.474526814,46.93846636,0.119364055,0.660285956,0.565972284,0.571084294,0.322457282,0.069597381,0.665333974,0.01175729,0.036957788,423.7382086
0.015660125,0.06333231,0.073551763,0.36102459,52.86113829,0.112032583,0.666000083,0.583873847,0.572993107,0.217847103,0.057511078,0.675063173,0.030202095,0.031344726,435.3653194
0.015274296,0.063916821,0.063832504,0.463942887,35.78097907,0.103499737,0.564941218,0.562793142,0.559522806,0.388454434,0.049935252,0.655164299,0.031403093,0.032397063,241.4218162
0.014727736,0.071952056,0.077860604,0.35224258,48.27224915,0.094690849,0.632888109,0.564553449,0.566385923,0.32701599,0.036897008,0.630251277,0.007323864,0.033515284,248.2749421
0.015680849,0.057710146,0.062977988,0.427104733,38.42127866,0.117121329,0.597831385,0.584944067,0.565363754,0.333309087,0.028372386,0.54654031,0.028738249,0.007773065,244.1817919
0.014606264,0.056551339,0.05873747,0.421186245,41.98803084,0.108890688,0.588195589,0.560458767,0.576269073,0.441786074,0.041305439,0.535138778,0.022130811,0.036788561,321.2421585
0.015019,0.05650898,0.062075225,0.359504945,38.98165328,0.084939825,0.648765068,0.561341138,0.569199806,0.260656008,0.043572917,0.737534485,0.03010767,0.041624949,137.9016197
0.014745291,0.060158713,0.074564876,0.505292471,55.02508095,0.112512336,0.607271939,0.566333307,0.557927493,0.256076437,0.049650289,0.608087148,0.025850273,0.005238994,438.6165161
0.015211932,0.078772689,0.073575006,0.400075363,46.95501695,0.10408506,0.651204741,0.574128761,0.567111988,0.216233189,0.030590961,0.772825133,0.039220043,0.038448556,107.5725864
0.016152547,0.084267925,0.077085298,0.408912311,42.19591663,0.114323013,0.613296581,0.576386405,0.576354188,0.360660037,0.043034501,0.721007038,0.021664265,0.036429552,193.8122638
0.015862956,0.067984811,0.082249396,0.485781492,40.27475716,0.091960726,0.62187832,0.579805466,0.572582894,0.244118156,0.067902547,0.656856636,0.016435483,0.033997985,338.6194221
0.014455974,0.080015135,0.062137147,0.405697169,46.6894253,0.100489926,0.648803422,0.57289393,0.56456646,0.39914615,0.05732137,0.596806262,0.029351754,0.042705469,366.6999454
0.015954678,0.067396877,0.052642448,0.351361936,51.46175411,0.099446222,0.597237167,0.561192341,0.558975083,0.321776302,0.035677327,0.586092547,0.031238474,0.014448722,340.3959462
0.017426291,0.081075001,0.080487012,0.414736525,42.68596093,0.101854836,0.626811215,0.569180418,0.558443491,0.331526256,0.055037442,0.689260524,0.038491557,0.013741101,272.4891714
0.014862964,0.072838203,0.059280537,0.421903281,37.750734,0.115287658,0.657486152,0.581444708,0.556656513,0.297035715,0.044779791,0.597155305,0.02305272,0.027477267,278.6678119
0.016605398,0.062284038,0.064892809,0.405940077,37.01468502,0.095965616,0.676029596,0.559585866,0.578817982,0.237071757,0.025260146,0.68219802,0.037875022,0.035941204,58.38443803
